CountryName;CountryUrl
Algeria;https://en.wikipedia.org/wiki/List_of_universities_in_Algeria
Angola;https://en.wikipedia.org/wiki/List_of_universities_in_Angola
Benin;https://en.wikipedia.org/wiki/List_of_universities_in_Benin
Botswana;https://en.wikipedia.org/wiki/List_of_universities_in_Botswana
Burkina Faso;https://en.wikipedia.org/wiki/List_of_universities_in_Burkina_Faso
Burundi;https://en.wikipedia.org/wiki/List_of_universities_in_Burundi
Cameroon;https://en.wikipedia.org/wiki/List_of_universities_in_Cameroon
Cape Verde;https://en.wikipedia.org/wiki/List_of_universities_in_Cape_Verde
The Central African Republic;https://en.wikipedia.org/wiki/List_of_universities_in_the_Central_African_Republic
Chad;https://en.wikipedia.org/wiki/List_of_universities_in_Chad
Comoros;https://en.wikipedia.org/wiki/List_of_universities_in_Comoros
The Republic Of The Congo;https://en.wikipedia.org/wiki/List_of_universities_in_the_Republic_of_the_Congo
The Democratic Republic Of The Congo;https://en.wikipedia.org/wiki/List_of_universities_in_the_Democratic_Republic_of_the_Congo
Djibouti;https://en.wikipedia.org/wiki/List_of_universities_in_Djibouti
Egypt;https://en.wikipedia.org/wiki/List_of_universities_in_Egypt
Eritrea;https://en.wikipedia.org/wiki/List_of_universities_in_Eritrea
Ethiopia;https://en.wikipedia.org/wiki/List_of_universities_in_Ethiopia
Equatorial Guinea;https://en.wikipedia.org/wiki/List_of_universities_in_Equatorial_Guinea
Eswatini;https://en.wikipedia.org/wiki/List_of_universities_in_Eswatini
Gabon;https://en.wikipedia.org/wiki/List_of_universities_in_Gabon
The Gambia;https://en.wikipedia.org/wiki/List_of_universities_in_the_Gambia
Ghana;https://en.wikipedia.org/wiki/List_of_universities_in_Ghana
Guinea;https://en.wikipedia.org/wiki/List_of_universities_in_Guinea
Guinea-Bissau;https://en.wikipedia.org/wiki/List_of_universities_in_Guinea-Bissau
Ivory Coast;https://en.wikipedia.org/wiki/List_of_universities_in_Ivory_Coast
Kenya;https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Kenya
Lesotho;https://en.wikipedia.org/wiki/List_of_universities_in_Lesotho
Liberia;https://en.wikipedia.org/wiki/List_of_universities_in_Liberia
Libya;https://en.wikipedia.org/wiki/List_of_universities_in_Libya
Madagascar;https://en.wikipedia.org/wiki/List_of_universities_in_Madagascar
Malawi;https://en.wikipedia.org/wiki/List_of_universities_in_Malawi
Mali;https://en.wikipedia.org/wiki/List_of_universities_in_Mali
Mauritania;https://en.wikipedia.org/wiki/List_of_universities_in_Mauritania
Mauritius;https://en.wikipedia.org/wiki/List_of_universities_in_Mauritius
Morocco;https://en.wikipedia.org/wiki/List_of_universities_in_Morocco
Mozambique;https://en.wikipedia.org/wiki/List_of_universities_in_Mozambique
Namibia;https://en.wikipedia.org/wiki/List_of_universities_in_Namibia
Niger;https://en.wikipedia.org/wiki/List_of_universities_in_Niger
Nigeria;https://en.wikipedia.org/wiki/List_of_universities_in_Nigeria
Rwanda;https://en.wikipedia.org/wiki/List_of_universities_in_Rwanda
São Tomé And Príncipe;https://en.wikipedia.org/wiki/List_of_universities_in_São_Tomé_and_Príncipe
Senegal;https://en.wikipedia.org/wiki/List_of_universities_in_Senegal
Seychelles;https://en.wikipedia.org/wiki/List_of_universities_in_Seychelles
Sierra Leone;https://en.wikipedia.org/wiki/List_of_universities_in_Sierra_Leone
Somalia;https://en.wikipedia.org/wiki/List_of_universities_in_Somalia
Somaliland;https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Somaliland
South Sudan;https://en.wikipedia.org/wiki/List_of_universities_in_South_Sudan
Sudan;https://en.wikipedia.org/wiki/List_of_universities_in_Sudan
South Africa;https://en.wikipedia.org/wiki/List_of_universities_in_South_Africa
Tanzania;https://en.wikipedia.org/wiki/List_of_universities_and_colleges_in_Tanzania
Togo;https://en.wikipedia.org/wiki/List_of_universities_in_Togo
Tunisia;https://en.wikipedia.org/wiki/List_of_universities_in_Tunisia
Uganda;https://en.wikipedia.org/wiki/List_of_universities_in_Uganda
Zambia;https://en.wikipedia.org/wiki/List_of_universities_in_Zambia
Zimbabwe;https://en.wikipedia.org/wiki/List_of_universities_in_Zimbabwe
Antigua And Barbuda;https://en.wikipedia.org/wiki/List_of_universities_in_Antigua_and_Barbuda
Argentina;https://en.wikipedia.org/wiki/List_of_universities_in_Argentina
The Bahamas;https://en.wikipedia.org/wiki/List_of_universities_in_the_Bahamas
Barbados;https://en.wikipedia.org/wiki/List_of_universities_in_Barbados
Belize;https://en.wikipedia.org/wiki/List_of_universities_in_Belize
Bolivia;https://en.wikipedia.org/wiki/List_of_universities_in_Bolivia
Brazil By State;https://en.wikipedia.org/wiki/List_of_universities_in_Brazil_by_state
Canada;https://en.wikipedia.org/wiki/List_of_universities_in_Canada
The Cayman Islands;https://en.wikipedia.org/wiki/List_of_universities_in_the_Cayman_Islands
Chile;https://en.wikipedia.org/wiki/List_of_universities_in_Chile
Colombia;https://en.wikipedia.org/wiki/List_of_universities_in_Colombia
Costa Rica;https://en.wikipedia.org/wiki/List_of_universities_in_Costa_Rica
Cuba;https://en.wikipedia.org/wiki/List_of_universities_in_Cuba
Dominica;https://en.wikipedia.org/wiki/List_of_universities_in_Dominica
The Dominican Republic;https://en.wikipedia.org/wiki/List_of_universities_in_the_Dominican_Republic
Ecuador;https://en.wikipedia.org/wiki/List_of_universities_in_Ecuador
El Salvador;https://en.wikipedia.org/wiki/List_of_universities_in_El_Salvador
Grenada;https://en.wikipedia.org/wiki/List_of_universities_in_Grenada
