Denominación Social Empresa Comercializadora;Denominación de la Oferta;Tipo de tarifa;Importe primeras facturas en Euros;Importe siguientes facturas en Euros;Validez;Servicios Adicionales Incluidos;Penalización;Verde;URL de la Oferta
ENERGYA VM GESTION DE ENERGÍA, S.L;Fórmula fija 3 PERIODOS;3 Precios fijos Revisión anual;39.82;39.82;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF58EF29D2205D4E86A88119489E824C821B6A893F3284DBB162F179FACA358266774A1C18F48BCB61FDE2D6EB67CB4AA263038532B52A0C9F7E170ADA2A25D8929721ED1ED5D55E8F3D4726F1D8F60A924F4989373C17072ECCBC2A8A5653D716FBC1447D2CD7EB0BEFA147CA49A36B27321CFB615B6273656ACCCF5E3C3FF4672716D0DE78CBE9938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Online 3 Precios (0-10kW);3 Precios fijos Revisión anual;40.66;40.66;Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BD08CFD3A49080BAF7D0656ACECC63392AACECF870BE9B8DD7C3FFE1D096473B315BBFBCD963B8C93D9517BB2A0D3B62E5989BF6FABEA81DE356121D98BE1E0E6E8556812C9063F553FD23F5F683F897D13641437E170EC6EC1EADE40ADD9938B36C2EAD0E29D23D3090256F80DF5EEF2F527B08F653F1C91D691194911E5125DAA6696927CABD91938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENDESA ENERGÍA S.A.U.;Conecta Endesa;1 Precio fijo Revisión anual;40.7;40.7;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0A97CF4EB72FE8DBB6FAD883855F05FD315A01CB364E74FFA47E747923411086F207C588C95363D63BE9D75550000F5AB40D1E53E6D2F989F1A00964BFA349AF6E062C000128AA344B81E4FB336539620C7FD9796FF58461C72D2A13F4648D1425EDDC59C6A8B1307C3764F10B71D929E8F11FFB6DF5390735E022270AB1C5A4DF8D65D09BF9A17938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - OPAL 3 PRECIOS;3 Precios fijos Revisión anual;40.7;40.7;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF841508C83EA67E03941734A26DD20D57F9DA6E33D6845A30E2C23870A9D4EF7B44C6B4420924EDB0FC56A9967B4EE3D8094BED68B910810877D285C15F140BC044A0640DC35C32DB04D2538DEB7EC090E20B496AE5886B25E2074052C3DC45EE98DF2DA890A6AE881E7AF363BA22AB4A30E70FA0D55369FE2E15499BACEC9F01767E247AFE9793938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ALDERAAN ENERGIA, S.L.;Precio Fijo;1 Precio fijo Revisión anual;41.29;48.32;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C036A5F244C3DD3E9A477C8A416D2FCCDCD16A7C4FA88A22BE91419B6C2BB77BC58B5C0E66234FE603B6EB290FA4AE8547C934A09EE8B68A2D1EDE570FEF4C59A4B029CA58D56E9D7EF7BBA5C50CDFD920A3DA68C69AE396A2753A0CAFBC5BBA00915EE6CE59063DF0721766D6DA782ECF33C4F5258EF5AD6A9154ECD8F5608C5C9F9808596750B5938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENI PLENITUDE IBERIA, S.L.;Tarifa Fácil Plus;1 Precio fijo Revisión anual;41.44;41.44;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C12E40407E4655E4C5A7053ED6850D275173472BF2E75BE8E50C422F2446991CFDE7858F325E6FE208089F6000ED471BDA2CC460F851CD4D93557C869D3A9B5FD2314A5555638BF568F6B6D8F5E58214E15079220E928DC8772A7E9580974F129EB874E1D3277D6C85DD768672AECC7F59017FC7DCA54CAE982D0886DEF21BF115148A71FF0C82E7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - OPAL 1 PRECIO;1 Precio fijo Revisión anual;41.45;41.45;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF836B190B59C0EF7FAFF953B8AD95BF8BD2FC27B9EB9FEDE8082D4933C5E62CD19842D16CBA0EE1591FCEF90DF1296B553DE07997274809169B5D6C3BD85B364969578D8C0E79A1CE09A0EC77D394479CB866D43EC75B59DB30784FBDF56014F7186C80B7A6BF11EC9BCA4F45CC18D5A04C7D8D58F6E55E5279D9187748BAB40306FE85A7D91669938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IMAGINA ENERGIA;PLAN NOCHE Y FINDES DIGITAL;3 Precios fijos Revisión anual;41.5;41.5;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C06DBEAC82FA4A735D3D2C760AC0BD060D6B7B55D6D0993E5D6F8B2C2A122098C87A1E998EC775E68036E965546ED497AFBD0B2D912CB56D9798D59D5A9D398F2DC8C756667AE3A4B468C011EECDE5104A242C6614638031DA06920CEEAE9F9A3F368CF8EA2F1E045BD15C9C8B07A874E441FA3272ACA3761600D8DBA5718FBCDAC5F886CE903153938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TOTALENERGIES CLIENTES S.A.U.;A TU AIRE SIEMPRE + DIGITAL;1 Precio fijo Revisión anual;41.61;41.64;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BC9FEDDD0F4AD2C59105F49A8A272B352AAFBD7931C5A0B8E0DC143A3BE8EB1678E259BD32941D2B037958C6E4CA1B022C0C4A7BA2C4EE169D45CC5D2F980A4F132E621D1EEC8E6F50F4A65653C141F11F82C0F243773E1AD2887568336CF2FFF22567F05DCCDF9535E7202507F54D1054595CA09B0C0695242BEB401B47821CD1D5A562D6A505A5938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TOTALENERGIES CLIENTES S.A.U.;A TU AIRE PROGRAMA TU AHORRO + DIGITAL;3 Precios fijos Revisión anual;41.78;41.81;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BCA141BC89149DE298CE305C5DA7A3D0C2FD7A06259B699172913E18B5B0C89BCC3B6182DD324943B3326827F5DE65F331A3216345E87F0680FEB6903AA57BFA00E4F3CA225653916AEB09247FF116E307D609DC9BB3983D67EB93495D09EB61E1264D4A3FA0AECE6CEC816D43D160BBA8222FA52AC8E2AC7B9463A2640FE5F2CEB4A4A07CF007F9938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
