X1 X2 X3 Ya
-5.0441518e-02 4.6236262e+00 5.0972000e+00 1.0000000e+00
1.4147013e-01 6.4280756e+00 5.4641274e+00 1.0000000e+00
1.8729736e-01 5.4726415e+00 8.6410515e+00 0.0000000e+00
1.5025811e+00 4.4886619e+00 6.3771313e+00 0.0000000e+00
1.1367431e+00 9.2945177e+00 5.4902162e+00 1.0000000e+00
2.3370393e-02 5.7053377e+00 8.2942230e+00 0.0000000e+00
8.4812512e-03 5.4578035e+00 8.6839194e+00 0.0000000e+00
2.8883497e-01 4.4956947e+00 4.7353688e+00 1.0000000e+00
1.7036628e-01 4.1475462e+00 6.5282420e+00 0.0000000e+00
9.9057485e-01 7.8643349e+00 4.1571873e+00 1.0000000e+00
1.3728730e+00 4.4319817e+00 3.1048388e+00 0.0000000e+00
3.4910877e-01 6.8717456e+00 5.7295199e+00 0.0000000e+00
6.0722828e-01 5.4923787e+00 3.5208244e+00 0.0000000e+00
-2.1349446e-01 8.4369007e+00 6.3794482e+00 1.0000000e+00
-2.1183191e+00 7.8317551e+00 6.5777033e+00 1.0000000e+00
1.1189371e-01 8.7299830e+00 5.2373651e+00 1.0000000e+00
-1.9676996e+00 4.9913132e+00 8.0928066e+00 0.0000000e+00
-4.5174649e-01 4.9131027e+00 7.6739153e+00 0.0000000e+00
2.0276362e+00 7.1486350e+00 4.8385028e+00 0.0000000e+00
1.0928054e+00 9.3136668e+00 5.2666805e+00 1.0000000e+00
-1.3185988e+00 5.9769947e+00 8.9329608e+00 0.0000000e+00
-4.3261643e-01 4.2906169e+00 5.3726549e+00 1.0000000e+00
-1.4972181e-01 6.3863657e+00 5.0593980e+00 0.0000000e+00
-1.0956237e+00 5.2335640e+00 2.7234997e+00 0.0000000e+00
4.1640842e-02 3.4344950e+00 3.4133293e+00 0.0000000e+00
1.9693276e-01 6.1653280e+00 4.6467197e+00 0.0000000e+00
-6.2108406e-01 2.7687550e+00 4.0695975e+00 0.0000000e+00
-3.3913386e-01 7.3062460e+00 5.3018561e+00 0.0000000e+00
4.7108497e-01 2.6860986e+00 3.6529264e+00 0.0000000e+00
6.8796156e-01 7.5115228e+00 6.9117377e+00 1.0000000e+00
8.2246942e-02 9.0248702e+00 4.9504969e+00 1.0000000e+00
-3.8201728e-01 4.7019011e+00 9.4875749e+00 0.0000000e+00
8.6653492e-01 7.8423426e+00 6.5826776e+00 0.0000000e+00
-2.1577906e-01 7.4151299e+00 7.3733918e+00 1.0000000e+00
8.3009289e-02 2.8214553e+00 7.1211585e+00 0.0000000e+00
6.5205033e-01 5.4359831e+00 5.0619587e+00 1.0000000e+00
5.7758481e-01 8.2269241e+00 7.8542847e+00 1.0000000e+00
7.2383105e-01 9.0493827e+00 6.4614957e+00 0.0000000e+00
-2.6953577e-01 8.7914260e+00 5.4988137e+00 0.0000000e+00
1.7223565e+00 3.8997379e+00 5.2758593e+00 1.0000000e+00
-6.3253988e-02 9.1086280e+00 6.7537592e+00 1.0000000e+00
-1.3212150e-01 8.7185322e+00 7.2094965e+00 1.0000000e+00
-4.5901857e-02 8.1963658e+00 5.7212179e+00 1.0000000e+00
-1.0282093e+00 7.3765141e+00 3.5102588e+00 0.0000000e+00
-2.8791929e-01 5.5350673e+00 8.6671278e+00 0.0000000e+00
5.0457046e-01 8.8312809e+00 7.4690126e+00 1.0000000e+00
