X1 X2 X3 Yb
3.6323454e+00 4.6778940e-01 6.9671001e+00 1.0000000e+00
4.7289144e+00 -4.5651166e-01 4.6682181e+00 1.0000000e+00
2.4664598e+00 7.9338836e-01 6.6919077e+00 0.0000000e+00
4.0870239e+00 -5.8535060e-01 4.4547659e+00 0.0000000e+00
5.1304984e+00 -2.0507298e+00 5.4981352e+00 1.0000000e+00
2.8307023e+00 -9.1138278e-01 6.8162463e+00 0.0000000e+00
3.3724669e+00 2.2986039e-01 6.3663950e+00 0.0000000e+00
3.6513750e+00 -8.0775032e-01 6.6082343e+00 1.0000000e+00
3.0593440e+00 -7.9695939e-01 3.8480223e+00 0.0000000e+00
5.5386510e+00 -1.5128559e-01 5.9105376e+00 1.0000000e+00
5.3874890e+00 -1.3167520e+00 4.1288647e+00 0.0000000e+00
5.9368115e+00 -7.5727928e-01 6.7903872e+00 0.0000000e+00
6.8421970e+00 -2.9531757e-01 5.0955165e+00 0.0000000e+00
5.7630239e+00 2.9821185e+00 6.2800901e+00 1.0000000e+00
4.7079185e+00 4.4314177e-01 4.6602454e+00 1.0000000e+00
4.9726936e+00 -1.5123815e-01 7.7954488e+00 1.0000000e+00
3.5432472e+00 -1.0021915e+00 7.0597541e+00 0.0000000e+00
2.8978138e+00 1.1403658e+00 6.2571054e+00 0.0000000e+00
6.8333938e+00 -2.2592917e-01 6.4291817e+00 0.0000000e+00
5.6468194e+00 -5.9741147e-01 5.8859421e+00 1.0000000e+00
2.5465902e+00 -5.1569036e-01 6.9088052e+00 0.0000000e+00
3.7651114e+00 7.4856567e-02 7.2030190e+00 1.0000000e+00
6.1430803e+00 1.2565538e+00 6.5614049e+00 0.0000000e+00
6.2095181e+00 1.7313444e+00 4.2571758e+00 0.0000000e+00
4.5499068e+00 4.5065814e-01 4.2070659e+00 0.0000000e+00
6.5172720e+00 2.1667621e+00 6.2422895e+00 0.0000000e+00
4.1369038e+00 -1.3225425e+00 3.8767313e+00 0.0000000e+00
6.4525036e+00 -6.4844506e-01 7.6437618e+00 0.0000000e+00
5.8042163e+00 1.0990561e+00 3.2844583e+00 0.0000000e+00
4.9683865e+00 8.5131330e-01 4.6939745e+00 1.0000000e+00
5.5693751e+00 4.5523992e-01 7.6682937e+00 1.0000000e+00
2.8670938e+00 -6.3684396e-01 6.3362741e+00 0.0000000e+00
5.9054344e+00 2.0838100e-01 7.7616145e+00 0.0000000e+00
6.6866731e+00 4.4388854e-01 4.9406647e+00 1.0000000e+00
3.9056160e+00 1.8531261e+00 4.3711877e+00 0.0000000e+00
3.5120700e+00 2.0718585e+00 5.7302716e+00 1.0000000e+00
6.0573486e+00 -4.0119593e-01 4.4035850e+00 1.0000000e+00
4.4769037e+00 -2.5595970e-01 8.2589693e+00 0.0000000e+00
4.0589716e+00 8.3465427e-02 7.2595297e+00 0.0000000e+00
4.0127587e+00 1.8181210e-02 6.3788559e+00 1.0000000e+00
5.1127747e+00 -2.7364419e+00 6.4615479e+00 1.0000000e+00
5.2162783e+00 -1.2888624e+00 4.7652223e+00 1.0000000e+00
5.3253008e+00 -4.9289038e-01 6.4490406e+00 1.0000000e+00
6.2728945e+00 -2.0500999e+00 5.0741172e+00 0.0000000e+00
3.1396303e+00 3.3848252e-01 6.7882601e+00 0.0000000e+00
5.8825371e+00 -3.7674370e-01 5.5769753e+00 1.0000000e+00
6.6911546e+00 1.8665893e-01 3.4597146e+00 0.0000000e+00
5.7799708e+00 -4.1859219e-01 5.3483529e+00 1.0000000e+00
4.7842117e+00 1.1563592e+00 4.9196518e+00 1.0000000e+00
3.5363420e+00 2.4957433e-01 4.1281235e+00 0.0000000e+00
6.9885502e+00 4.5156603e-01 5.3975767e+00 0.0000000e+00
6.0028812e+00 -1.8118395e+00 6.9291130e+00 0.0000000e+00
6.9416699e+00 -6.7347078e-03 5.1233628e+00 0.0000000e+00
3.3774053e+00 -4.5220491e-01 6.2531990e+00 0.0000000e+00
4.9842460e+00 1.7458124e-01 4.0131220e+00 0.0000000e+00
