fecha;DEM;WD;TEMP;TMAX229;TMAX230;TMAX237;TMAX417
01/07/2007;590.803564;7;23.1;28.4;27;27.6;24.8
02/07/2007;738.568372;1;22.65;31.2;28.4;27.7;26.4
03/07/2007;774.875745;2;23.275;33;30;30.2;25
04/07/2007;783.546441;3;24.375;33.9;29.5;28;25.6
05/07/2007;771.248135;4;21.675;36.2;29.4;26.4;26.5
06/07/2007;773.842848;5;23.7;37.4;32.2;27.6;25.1
07/07/2007;674.759259;6;25.9;37;34.2;28.8;24.9
08/07/2007;604.443592;7;26.575;35.1;33.3;30.2;26.1
09/07/2007;761.053642;1;24.025;32.3;28;27.8;25.9
10/07/2007;764.941916;2;21.6;33.8;27.4;26.1;25.4
11/07/2007;774.402573;3;22.6;36.4;30;26.8;27.7
12/07/2007;785.125839;4;24.375;37.4;32;26.8;26.5
13/07/2007;790.629511;5;25.1;38;33.6;27.5;26
14/07/2007;687.691067;6;25.975;37;35;27.6;25.7
15/07/2007;605.938209;7;25.3;32.6;33.3;27.4;24.8
16/07/2007;758.619579;1;25.05;29.2;27;28.6;27.1
17/07/2007;784.833481;2;25.2;30.8;29.8;29.2;28.7
18/07/2007;789.795799;3;24.6;32;31.4;28.6;28.1
19/07/2007;785.186073;4;23.55;31;29.8;29.2;26.7
20/07/2007;763.508571;5;23.35;29.6;27.4;28.5;26.4
21/07/2007;654.153016;6;23.45;30.2;28.5;29;24.8
22/07/2007;578.819318;7;23.575;32;28.5;28.2;24.8
23/07/2007;739.994018;1;24.4;29;26.2;37;26.2
24/07/2007;763.399345;2;23.75;32.6;28.4;28.9;26.2
25/07/2007;770.266486;3;24.75;36.8;32.2;28.1;25.4
26/07/2007;788.333134;4;25.775;37;34.7;28.6;27.2
27/07/2007;789.125738;5;26.375;38;35.5;30;26.8
28/07/2007;687.976038;6;27.5;39.8;36.4;29.6;34.7
29/07/2007;617.111933;7;28.125;41.9;35.6;30.3;37
30/07/2007;770.799735;1;27.625;41.4;35;31.2;38.9
31/07/2007;788.038991;2;28.025;39.4;36.6;30;38.3
01/08/2007;785.891886;3;28.575;33;33.6;29.6;29.3
02/08/2007;775.010299;4;26.05;35.4;33.5;29.8;26
03/08/2007;769.091164;5;26.95;40.2;34.2;29;26.1
04/08/2007;686.389569;6;27.275;40.9;36.9;29.5;27.1
05/08/2007;612.47625;7;27.6;37;35.5;29;25.8
06/08/2007;711.836659;1;26.7;31.5;29.2;30.6;26.7
07/08/2007;705.627266;2;24.375;31.7;30;28.6;26
08/08/2007;690.471297;3;21.725;34.8;27.9;27.2;25.3
09/08/2007;694.744628;4;23.3;37;30;27.7;26.4
10/08/2007;692.427217;5;24.075;35;31.4;27.8;25.2
11/08/2007;630.784345;6;23.9;33.6;31.5;29;26.1
12/08/2007;566.444854;7;25;31;29.6;29.8;26.5
13/08/2007;654.212382;1;23.525;32.6;31;28.5;26.2
14/08/2007;674.150585;2;24.625;33.4;31.2;30.8;25.6
15/08/2007;599.258186;3;24.825;30.8;30.7;32;25.7
16/08/2007;664.086146;4;24.45;32;28.1;29.8;26.8
17/08/2007;666.349375;5;24.125;35.6;28.8;27.8;25.6
18/08/2007;624.160909;6;25.675;36.2;31.5;28.6;26.1
19/08/2007;566.929919;7;22.7;33.8;29.8;29.4;26.1
20/08/2007;669.766132;1;21.3;34;27;27.4;26.7
21/08/2007;686.13718;2;21.225;31.8;24.4;31.3;26.5
22/08/2007;668.869664;3;18.35;30.4;23.5;24.9;25.3
